year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1885,79.4,117.9,63.4,65.3,81.2,57.0,38.8,64.2,145.8,135.4,93.1,72.3,323.2,209.9,160.0,374.4,1013.9
1886,125.6,42.0,85.5,62.0,112.6,40.5,99.5,59.1,93.0,127.6,108.0,139.8,239.8,260.0,199.1,328.5,1095.0
1887,91.5,53.3,50.9,50.4,49.1,25.6,63.4,68.1,98.2,74.7,93.8,87.5,284.6,150.4,157.1,266.7,806.5
1888,62.1,42.4,95.2,60.2,57.6,74.1,142.2,90.5,40.7,73.9,165.0,90.2,192.0,213.0,306.9,279.7,994.2
1889,63.0,80.3,78.1,83.3,77.3,24.7,75.7,125.6,61.3,116.5,58.8,86.9,233.5,238.8,226.0,236.5,931.5
1890,146.0,29.9,83.6,47.0,60.5,89.6,97.2,106.0,69.2,95.0,150.3,37.8,262.8,191.1,292.8,314.5,1012.1
1891,79.3,24.2,72.0,45.4,78.3,53.4,87.2,156.3,101.0,157.2,101.9,153.6,141.3,195.7,296.9,360.1,1109.8
1892,83.3,63.6,33.4,37.7,82.8,84.4,72.0,123.1,110.0,138.1,88.4,61.6,300.5,153.9,279.4,336.6,978.4
1893,68.3,117.6,34.8,22.9,49.6,44.9,96.5,86.8,84.8,116.5,90.9,127.5,247.5,107.4,228.1,292.2,941.1
1894,118.3,141.2,75.5,50.8,77.9,71.6,103.2,105.3,32.4,108.1,118.6,99.7,387.0,204.2,280.2,259.1,1102.7
1895,92.3,17.7,91.7,64.0,21.7,48.5,119.1,114.9,40.5,117.7,127.1,105.8,209.7,177.4,282.6,285.4,961.2
1896,59.1,43.5,117.9,47.9,18.8,81.8,81.0,75.5,150.6,124.1,46.6,142.1,208.4,184.5,238.3,321.2,988.7
1897,55.6,86.8,129.7,69.2,51.1,91.4,51.8,121.3,100.6,58.6,82.5,138.5,284.5,250.0,264.6,241.6,1037.1
1898,68.5,88.9,55.4,79.6,86.3,64.4,34.7,104.5,67.2,118.9,110.2,143.0,296.0,221.2,203.6,296.3,1021.6
1899,131.5,76.3,63.8,98.9,78.3,47.8,67.0,41.1,116.0,90.2,110.6,96.7,350.8,241.0,155.9,316.8,1018.3
1900,131.3,114.3,33.9,63.1,64.9,85.5,71.7,120.3,64.2,125.5,112.2,163.7,342.4,161.9,277.5,301.9,1150.6
1901,71.6,52.5,78.1,77.3,39.7,69.3,61.3,89.8,65.7,96.3,85.1,140.5,287.7,195.1,220.4,247.2,927.3
1902,70.5,44.3,73.2,55.3,79.4,65.7,70.0,87.1,64.5,84.7,83.4,104.2,255.4,207.9,222.8,232.6,882.3
1903,131.9,108.5,147.8,59.8,78.7,67.1,113.8,146.2,101.7,220.0,88.4,82.0,344.5,286.2,327.1,410.1,1345.9
1904,108.6,109.6,59.3,85.4,76.0,46.3,71.2,106.3,73.0,58.8,73.7,95.8,300.2,220.7,223.7,205.5,963.8
1905,61.9,65.1,117.8,76.0,38.0,65.7,52.2,118.1,72.0,83.4,123.2,57.9,222.8,231.8,236.0,278.6,931.4
1906,143.0,88.0,73.9,44.5,102.0,51.1,55.3,94.5,42.7,153.7,122.5,99.2,288.9,220.3,201.0,318.9,1070.4
1907,62.4,70.8,72.2,78.1,94.0,112.0,67.9,101.3,29.2,146.4,88.3,119.9,232.4,244.3,281.2,263.9,1042.6
1908,82.5,78.0,113.4,69.8,65.5,53.0,85.1,96.5,108.2,53.0,76.4,95.9,280.5,248.7,234.6,237.6,977.4
1909,79.6,44.1,97.5,80.3,56.6,72.7,101.6,78.5,72.0,160.1,57.6,134.8,219.6,234.4,252.8,289.7,1035.4
1910,109.2,122.9,49.5,93.4,70.0,68.3,95.6,138.7,26.8,87.3,126.7,139.8,366.9,212.9,302.6,240.7,1128.1
1911,58.4,97.8,61.7,69.0,51.8,77.7,43.6,68.9,68.4,90.8,139.3,183.2,296.0,182.5,190.2,298.6,1010.7
1912,109.3,78.1,126.4,35.0,57.8,123.7,91.1,166.8,56.2,113.4,103.4,157.4,370.5,219.2,381.6,273.0,1218.5
1913,121.5,57.0,128.0,102.2,80.9,63.4,32.7,43.9,72.2,101.0,123.7,84.4,336.0,311.1,140.1,296.8,1010.9
1914,76.7,113.9,123.0,52.7,59.0,52.0,92.1,80.1,57.1,62.1,135.9,196.8,275.0,234.6,224.2,255.2,1101.5
1915,115.2,139.0,53.9,63.5,51.8,35.6,122.3,80.1,53.5,73.2,81.3,179.6,451.1,169.2,238.1,208.0,1049.1
1916,107.3,134.4,86.4,69.4,91.2,72.0,71.5,89.7,55.2,167.8,128.9,104.8,421.3,247.0,233.3,351.8,1178.6
1917,71.8,33.8,70.8,62.0,67.3,71.2,59.6,166.8,75.3,164.5,118.1,60.3,210.4,200.1,297.5,357.8,1021.3
1918,101.3,103.6,42.0,49.3,62.6,43.0,119.0,83.7,178.0,105.2,94.1,130.3,265.2,153.9,245.8,377.2,1112.2
1919,117.1,58.5,113.8,80.9,29.2,64.7,49.5,90.4,81.5,69.3,98.8,161.7,305.9,223.9,204.6,249.6,1015.5
1920,137.6,93.8,106.7,106.8,94.5,57.4,123.1,70.6,76.5,75.1,81.6,104.4,393.1,307.9,251.1,233.1,1127.9
1921,148.3,24.1,102.0,38.0,62.6,18.3,58.4,108.2,52.7,81.1,71.1,127.1,276.8,202.6,185.0,204.9,891.9
1922,119.7,110.5,70.8,85.3,61.7,51.8,116.7,98.3,79.4,46.5,65.2,125.8,357.3,217.8,266.8,191.1,1031.7
1923,102.8,151.6,50.4,77.5,78.2,36.0,88.3,128.0,110.6,156.7,110.0,113.6,380.2,206.0,252.2,377.2,1203.5
1924,102.1,39.4,36.0,75.4,119.8,71.4,120.9,113.2,132.0,118.7,81.6,152.0,255.1,231.2,305.5,332.3,1162.6
1925,100.3,133.8,50.3,93.4,118.2,14.1,73.4,86.1,102.3,111.3,64.9,109.1,386.2,261.9,173.6,278.5,1057.2
1926,137.5,93.3,59.1,69.3,74.5,78.1,79.6,86.5,77.9,113.9,162.7,51.0,339.9,203.0,244.2,354.5,1083.5
1927,124.2,74.0,91.9,81.6,50.3,106.7,96.3,132.3,152.8,108.6,116.3,64.0,249.2,223.9,335.2,377.7,1198.9
1928,197.8,102.4,94.3,47.4,40.1,110.3,69.9,110.4,59.3,157.9,145.7,104.8,364.2,181.8,290.6,362.9,1240.3
1929,48.6,37.4,16.3,40.3,69.3,61.1,79.0,107.7,45.7,148.2,185.6,209.3,190.8,125.9,247.8,379.5,1048.6
1930,148.4,24.8,70.2,66.6,59.7,53.2,102.0,140.4,111.5,136.3,141.3,113.3,382.5,196.4,295.5,389.1,1167.6
1931,106.1,99.8,28.0,86.8,95.4,111.0,116.0,98.1,65.0,63.5,154.4,82.1,319.2,210.1,325.2,282.9,1106.2
1932,135.5,9.5,70.1,99.6,107.0,35.7,109.1,58.0,108.3,167.3,87.7,98.6,227.2,276.7,202.8,363.4,1086.5
1933,95.1,104.2,72.8,53.8,54.0,61.3,77.8,58.0,47.2,116.5,57.1,33.4,298.0,180.6,197.1,220.8,831.3
1934,114.2,23.3,80.5,96.1,64.4,49.0,66.1,103.6,100.3,129.9,58.0,177.3,170.9,241.0,218.8,288.2,1062.8
1935,64.3,121.6,43.9,98.6,33.2,101.5,39.0,73.4,150.7,171.1,143.3,93.3,363.3,175.7,213.9,465.2,1134.0
1936,124.9,73.5,65.4,47.3,37.3,79.9,142.6,53.3,98.3,94.0,106.5,131.2,291.7,150.0,275.8,298.8,1054.3
1937,151.7,135.4,80.9,69.2,67.4,56.3,84.7,61.6,74.8,82.5,46.2,91.0,418.4,217.5,202.6,203.5,1001.8
1938,145.5,58.9,60.1,14.4,81.7,94.3,108.8,84.1,80.3,171.6,160.9,117.8,295.4,156.2,287.2,412.8,1178.4
1939,143.8,94.9,79.1,66.0,32.9,63.5,143.9,68.2,47.0,103.2,171.0,70.5,356.6,177.9,275.6,321.2,1083.9
1940,65.1,69.7,92.2,71.1,43.1,27.9,130.1,39.9,73.1,122.7,188.4,106.3,205.3,206.5,197.9,384.3,1029.7
1941,73.6,105.1,81.3,48.5,63.8,30.8,81.4,131.5,32.9,107.2,105.7,74.0,284.9,193.6,243.7,245.8,935.8
1942,122.3,45.5,67.0,49.7,95.6,31.5,90.1,108.9,102.7,126.4,45.2,135.3,241.8,212.2,230.5,274.3,1020.2
1943,146.8,83.7,44.6,66.0,90.4,77.0,65.7,116.1,97.8,127.0,87.4,64.2,365.8,201.0,258.8,312.3,1066.8
1944,116.8,52.6,28.4,64.5,61.0,82.7,73.7,81.4,116.6,131.5,162.7,105.3,233.7,154.0,237.8,410.8,1077.3
1945,96.6,111.3,55.0,51.2,94.7,95.1,77.4,71.1,92.7,115.9,22.3,115.2,313.3,200.9,243.6,230.9,998.5
1946,113.4,97.0,50.3,49.2,59.0,93.8,100.4,132.3,146.6,31.6,162.3,112.1,325.6,158.6,326.5,340.5,1148.1
1947,99.0,43.4,139.2,117.6,70.6,80.6,82.3,9.9,85.7,40.0,124.8,81.9,254.5,327.3,172.8,250.5,974.9
1948,178.1,76.6,63.8,67.6,65.5,106.2,67.7,137.0,107.6,106.6,77.5,139.2,336.6,196.9,310.9,291.7,1193.4
1949,90.5,77.4,56.5,91.1,67.7,27.6,57.3,84.4,57.5,153.6,124.2,143.7,307.2,215.3,169.2,335.3,1031.4
1950,65.9,137.9,62.1,95.3,49.9,61.5,114.1,132.8,177.9,77.9,136.1,77.0,347.5,207.2,308.3,391.9,1188.2
1951,112.2,108.7,104.5,87.3,65.3,44.2,71.8,134.7,85.9,40.2,191.8,138.9,297.9,257.1,250.8,317.9,1185.6
1952,105.6,40.5,81.0,60.0,65.3,69.5,51.6,114.0,90.6,120.5,93.5,107.9,285.0,206.3,235.2,304.5,1000.0
1953,51.2,60.6,34.1,80.3,68.7,61.9,117.7,93.6,102.3,77.8,117.2,72.5,219.6,183.1,273.2,297.3,937.8
1954,85.7,92.3,84.6,28.7,93.3,93.5,95.9,117.6,118.4,166.8,180.2,138.3,250.4,206.6,307.0,465.4,1295.3
1955,85.7,73.9,52.4,48.9,97.8,82.0,29.3,30.8,78.9,94.1,64.0,143.9,297.9,199.2,142.1,237.0,881.7
1956,118.3,41.6,44.9,46.3,44.8,75.9,120.7,159.5,102.9,80.4,57.6,138.2,303.8,136.0,356.1,240.9,1031.0
1957,119.2,97.5,90.3,27.4,51.2,56.8,121.4,122.0,119.4,101.9,65.3,117.5,354.8,168.8,300.2,286.6,1089.8
1958,112.3,114.8,50.8,43.5,94.9,99.2,104.2,108.9,117.0,101.4,53.8,117.9,344.7,189.1,312.2,272.2,1118.7
1959,101.7,25.8,74.9,91.7,33.2,61.9,92.6,44.4,22.8,117.4,143.8,177.2,245.4,199.8,198.9,284.0,987.4
1960,123.5,97.8,50.6,70.7,48.6,60.3,111.8,116.8,100.2,146.5,148.5,125.6,398.5,169.9,288.9,395.2,1200.9
1961,118.1,95.3,43.3,99.8,47.0,52.3,84.8,109.0,104.1,145.0,80.8,102.5,339.0,190.1,246.1,329.9,1082.0
1962,151.4,71.6,50.9,71.7,74.3,42.8,64.8,142.8,123.0,54.4,78.6,104.6,325.5,196.9,250.4,256.0,1030.9
1963,32.6,34.3,120.6,82.5,76.9,87.5,64.0,113.4,88.8,92.0,168.6,39.7,171.5,280.0,264.9,349.4,1000.9
1964,43.7,38.0,80.9,77.9,75.0,77.7,68.8,87.4,74.5,79.7,86.7,128.4,121.3,233.8,233.9,240.8,918.6
1965,122.7,24.6,76.6,80.8,70.8,89.6,101.5,89.9,141.7,70.8,106.5,163.2,275.7,228.2,281.1,319.0,1138.8
1966,64.9,126.1,75.4,91.3,86.4,104.8,73.1,100.3,74.9,124.9,106.8,159.0,354.1,253.1,278.1,306.7,1187.8
1967,83.5,109.1,106.6,56.2,131.7,50.8,78.9,83.8,116.5,196.8,92.9,97.5,351.5,294.5,213.5,406.2,1204.2
1968,104.4,53.7,92.8,67.3,84.2,79.2,98.0,67.8,135.4,132.2,75.8,81.2,255.6,244.3,244.9,343.4,1071.9
1969,111.6,72.2,59.6,64.4,108.4,67.1,70.6,76.9,70.1,59.1,144.2,98.2,265.0,232.5,214.6,273.3,1002.4
1970,108.6,107.2,78.0,92.8,41.7,53.6,98.5,94.7,97.1,111.1,174.1,63.0,314.0,212.6,246.8,382.3,1120.5
1971,113.3,59.1,75.8,54.8,57.9,89.1,57.4,106.4,37.0,102.7,113.5,68.5,235.4,188.5,252.9,253.1,935.3
1972,116.7,81.4,77.8,89.0,89.5,92.5,57.9,52.9,36.2,48.1,126.2,118.3,266.5,256.3,203.3,210.5,986.4
1973,69.7,68.9,42.7,72.2,85.6,68.3,86.5,83.0,86.6,62.1,96.7,106.4,256.9,200.5,237.7,245.4,928.8
1974,172.3,112.2,53.1,14.6,55.4,64.8,87.8,93.0,145.1,95.2,148.1,139.1,390.9,123.1,245.6,388.4,1180.7
1975,168.5,36.5,70.5,80.7,41.8,35.7,80.1,61.7,128.7,53.5,95.8,67.9,344.0,193.0,177.5,278.0,921.4
1976,111.4,61.9,77.4,35.8,84.5,38.6,44.4,24.2,141.6,163.4,98.4,92.6,241.1,197.6,107.3,403.4,974.1
1977,103.3,132.4,94.4,80.4,56.1,77.1,38.9,97.0,80.7,107.0,142.4,93.7,328.3,230.9,213.1,330.0,1103.5
1978,126.8,84.9,114.4,47.9,38.7,62.0,84.9,77.1,102.3,52.4,113.6,157.3,305.4,200.9,224.0,268.3,1062.2
1979,94.4,53.6,143.9,75.8,107.3,51.0,57.3,107.2,73.3,101.4,136.0,170.2,305.3,327.0,215.5,310.8,1171.5
1980,90.8,93.8,102.6,18.4,28.4,125.4,84.3,103.6,109.2,148.4,119.5,130.7,354.7,149.3,313.4,377.2,1155.2
1981,97.8,69.6,153.9,49.1,89.4,66.7,66.5,45.9,172.4,157.2,125.7,87.5,298.1,292.4,179.1,455.3,1181.7
1982,102.1,73.1,120.4,30.9,60.7,99.0,39.7,110.3,119.7,141.0,161.4,140.8,262.7,212.0,249.0,422.1,1199.1
1983,149.9,46.7,98.8,89.9,105.5,51.0,38.3,38.6,123.1,140.7,51.1,151.4,337.3,294.2,127.9,314.9,1085.0
1984,170.2,77.5,73.9,28.3,45.5,51.8,36.7,56.5,131.5,137.3,171.3,109.7,399.0,147.7,145.0,440.0,1090.1
1985,76.4,35.2,77.3,84.7,68.8,90.5,105.7,158.3,100.2,59.3,98.8,147.2,221.3,230.8,354.5,258.2,1102.2
1986,146.4,17.3,110.7,84.8,118.4,49.3,66.6,120.5,35.4,118.1,158.0,188.0,310.8,313.9,236.4,311.5,1213.4
1987,45.1,68.6,112.4,64.9,55.0,103.4,85.5,87.1,93.7,164.1,91.2,89.8,301.7,232.2,276.0,349.0,1060.8
1988,169.9,90.3,126.6,52.8,58.5,37.0,150.5,117.0,93.1,118.6,65.2,81.2,350.0,237.9,304.6,277.0,1160.9
1989,97.3,137.8,124.5,79.2,32.0,62.8,42.0,102.6,58.9,128.5,60.4,119.0,316.3,235.6,207.4,247.9,1045.1
1990,169.9,193.3,94.7,60.2,35.6,93.8,49.4,72.8,82.2,142.6,79.0,130.4,482.2,190.5,216.0,303.8,1203.7
1991,111.4,70.4,94.1,90.8,22.6,103.5,76.5,43.3,84.0,107.2,138.3,82.6,312.2,207.6,223.2,329.5,1024.7
1992,78.8,89.6,127.9,91.0,58.9,39.2,86.7,162.9,118.2,95.9,161.3,107.0,251.0,277.9,288.8,375.4,1217.4
1993,175.5,33.3,58.8,102.6,98.7,68.4,94.5,62.1,99.7,94.0,73.5,188.8,315.8,260.1,224.9,267.1,1149.7
1994,154.1,88.6,146.3,94.5,49.6,62.8,54.3,82.7,103.1,98.4,108.0,174.2,431.4,290.4,199.8,309.4,1216.5
1995,181.0,143.0,94.1,40.7,59.7,29.7,57.9,18.4,135.5,117.3,99.8,73.4,498.2,194.5,105.9,352.5,1050.3
1996,74.7,101.8,48.7,73.0,65.6,42.3,55.2,78.5,44.3,136.6,147.7,66.9,249.9,187.3,175.9,328.5,935.2
1997,29.0,168.3,66.9,43.1,87.3,115.9,63.9,83.8,61.7,72.4,123.2,133.1,264.2,197.3,263.7,257.3,1048.7
1998,134.1,81.9,105.2,121.1,41.3,121.8,93.0,78.9,92.6,187.7,118.4,122.5,349.1,267.6,293.6,398.7,1298.4
1999,164.9,83.2,88.7,88.6,75.9,93.8,46.1,91.9,140.2,93.4,109.6,195.5,370.6,253.2,231.8,343.2,1271.8
2000,101.9,131.6,67.7,123.8,77.6,58.3,59.7,85.3,133.8,199.6,176.4,156.7,429.0,269.2,203.4,509.8,1372.5
2001,78.9,96.9,85.6,89.6,43.3,58.0,81.6,96.8,88.9,165.1,94.9,69.8,332.5,218.4,236.4,348.9,1049.3
2002,134.3,175.2,75.5,68.0,101.6,86.7,98.4,73.8,40.6,153.8,163.1,109.2,379.4,245.1,258.9,357.5,1280.3
2003,114.0,48.4,53.6,50.4,98.1,71.2,78.3,26.7,53.8,63.9,120.2,121.7,271.6,202.1,176.1,237.9,900.1
2004,151.1,74.3,70.1,93.1,51.1,84.7,70.4,159.7,103.0,165.3,75.2,110.8,347.0,214.3,314.9,343.5,1208.9
2005,126.5,69.8,72.9,91.0,72.6,71.6,59.4,85.4,92.0,141.7,116.1,80.5,307.2,236.5,216.5,349.8,1079.7
2006,59.3,65.0,110.5,67.4,112.6,42.1,53.1,92.0,102.4,142.7,153.2,172.8,204.9,290.5,187.2,398.3,1173.2
2007,152.9,110.1,88.2,26.6,114.2,136.2,134.7,85.8,66.9,64.5,101.3,114.3,435.8,229.0,356.8,232.7,1195.7
2008,189.3,81.8,122.5,76.1,47.8,78.7,108.2,134.7,105.8,154.8,105.9,87.5,385.3,246.5,321.7,366.5,1293.2
2009,119.3,59.8,79.0,60.0,81.7,61.7,145.5,114.7,63.8,107.4,215.0,100.2,266.6,220.7,321.9,386.2,1208.1
2010,79.4,74.5,78.6,47.5,38.9,38.4,107.0,97.5,113.3,100.5,122.7,47.1,254.1,165.1,242.8,336.5,945.4
2011,102.2,113.8,49.4,35.7,100.7,84.7,75.7,105.4,107.4,122.0,99.0,166.6,263.0,185.9,265.8,328.4,1162.6
2012,110.1,59.4,36.7,128.2,65.6,149.0,118.4,111.3,111.8,125.6,135.1,178.3,336.1,230.5,378.7,372.5,1329.6
2013,109.7,59.6,64.4,62.9,91.8,48.5,65.2,72.2,71.0,162.6,90.4,185.5,347.7,219.2,185.9,324.1,1084.0
2014,187.0,167.8,79.8,67.5,99.4,54.5,64.3,137.9,22.5,157.4,123.3,131.4,540.3,246.7,256.7,303.2,1292.8
2015,153.5,79.9,94.9,45.5,109.9,56.2,107.6,104.7,52.1,72.1,172.0,216.9,364.8,250.2,268.6,296.2,1265.3
2016,178.7,110.1,83.8,77.3,61.4,96.1,78.5,85.1,96.3,47.0,104.9,77.3,505.7,222.5,259.7,248.2,1096.5
2017,76.0,93.3,97.7,33.2,57.2,110.4,101.3,102.3,117.2,101.4,107.7,120.6,246.6,188.1,314.1,326.3,1118.4
2018,132.4,68.6,103.8,83.9,47.7,34.7,54.2,83.0,101.4,104.2,121.7,117.7,321.6,235.5,171.9,327.3,1053.5
2019,64.6,71.1,128.9,48.6,63.6,109.0,89.1,132.6,126.1,139.8,119.1,139.6,253.4,241.1,330.7,385.0,1232.2
2020,121.3,213.7,78.5,30.0,32.8,107.7,96.0,122.2,77.4,182.6,105.0,166.6,474.6,141.3,325.9,365.0,1333.8
2021,140.2,105.0,86.8,20.6,121.4,44.7,75.3,66.5,82.4,168.7,78.1,114.4,411.9,228.8,186.6,329.2,1104.2